aether 4.29.8-1
alsa-utils 1.2.16-1
asdcontrol 1:0.6.0-2
base 3-3
bat 0.26.1-2
bluez-utils 5.87-2
bolt 0.9.11-3
brightnessctl 0.5.1-3
btop 1.4.7-1
chromium 152.0.7977.82-1
clang 22.1.8-1
cliamp 2.0.1-1
cups 2:2.4.19-1
docker-compose 5.5.1-1
dua-cli 2.44.0-1
expac 10-13
eza 0.23.5-2
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.15-1
fd 10.5.0-3
ffmpegthumbnailer 2.3.1-1
foot 1.28.0-1
gnome-disk-utility 46.1-3
gnome-themes-extra 1:3.28-1
gpu-screen-recorder 6.1.0-1
herdr 0.8.2-1
hyprland-preview-share-picker 0.2.1-1
hyprpicker 0.4.7-4
hyprsunset 0.4.0-3
imv 5.0.1-2
inetutils 2.8-1
intel-lpmd 0.1.0-4
intel-ucode 20260812-1
kdenlive 26.08.0-1
lazydocker 0.25.2-1
lazygit 0.65.0-1
localsend 1.18.2-1
lua51 5.1.5-13
luarocks 3.13.0-5
mise-bin 2026.9.5-1
moonlight-qt 6.1.0-7
mpv-mpris 1.2-2
networkmanager 1.58.1-1
obs-studio 32.2.2-1
obsidian 1.13.7-2
omacalc 0.2.2-1
omacut 0.4.0-1
omarchy-nvim 2026.8.13-1
omawrite 0.5.0-1
openai-codex-desktop 26.908.40834-1
pamixer 1.6-4
pinta 3.1.2-2
power-profiles-daemon 0.30-1
python-poetry-core 2.4.1-1
ripgrep 15.2.0-1
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
starship 1.26.0-1
sushi 50.0-1
system-config-printer 1.5.18-7
tensaku 0.29.0-1
thermald 2:2.5.12-1
tldr 3.4.4-1
tobi-try 1.8.1-3
tree-sitter-cli 0.26.9-1
ttf-ia-writer 20181225-1
ttfx 0.3.2-1
tzupdate 3.1.0-1
udiskie 2.7.0-2
ufw-docker 251123-1
usage 5.1.0-1
voxtype-bin 1.0.1-1
whois 5.6.6-1
woff2-font-awesome 7.3.1-1
xdg-terminal-exec 0.14.3-1
xournalpp 1.3.7-1
yaru-icon-theme 26.04.5.1ubuntu-1
yay 13.0.1-1
zbar 0.23.93-7
zoxide 0.10.0-1
